section,manifest_item,requested_unique_count,priority,asset_ids_or_files,status
8 데스크 소품,모니터 — 1대 / 듀얼,2,MVP,MONITOR_SINGLE_001; MONITOR_DUAL_001,included
8 데스크 소품,노트북,1,MVP,LAPTOP_OPEN_001,included
8 데스크 소품,키보드 + 마우스,1,MVP,KEYBOARD_MOUSE_SET_001,included
8 데스크 소품,데스크폰(유선전화),1,Later,DESKPHONE_001,included
8 데스크 소품,데스크 램프,1,MVP,LAMP_DESK_001,included
8 데스크 소품,머그컵 / 테이크아웃 커피,2,MVP,MUG_CERAMIC_001; COFFEE_TAKEOUT_001,included
8 데스크 소품,펜꽂이 / 노트 / 책 더미,3,Later,PEN_CUP_001; NOTEBOOK_001; BOOK_STACK_001,included
8 데스크 소품,서류 트레이 / 바인더,2,Later,DOC_TRAY_001; BINDERS_SET_001,included
8 데스크 소품,헤드셋,1,Later,HEADSET_001,included
9 수납/사무기기,책장/오픈 셸프,1,MVP,SHELF_OPEN_001,included
9 수납/사무기기,서류 캐비닛,1,MVP,CABINET_FILE_001,included
9 수납/사무기기,락커(사물함),1,Later,LOCKER_001,included
9 수납/사무기기,복합기/프린터,1,MVP,PRINTER_MFP_001,included
9 수납/사무기기,휴지통,1,Later,TRASH_BIN_001,included
10 식물/데코/아트,화분 — 대,1,MVP,PLANT_LARGE_MONSTERA_001,included
10 식물/데코/아트,화분 — 중/소,2,MVP,PLANT_MEDIUM_001; PLANT_SMALL_001,included
10 식물/데코/아트,행잉 플랜트,1,Later,PLANT_HANGING_001,included
10 식물/데코/아트,액자/벽 아트,2,Later,WALL_ART_001; WALL_ART_002,included
10 식물/데코/아트,포스터 FOCUS PLAN EXECUTE REPEAT,1,Later,POSTER_FOCUS_001,included
10 식물/데코/아트,벽시계,1,Later,CLOCK_WALL_001,included
11 건축/구조 모듈,바닥 목재/타일/카펫 재질,3,MVP,MAT_FLOOR_WOOD_001; MAT_FLOOR_TILE_001; MAT_FLOOR_CARPET_001,included
11 건축/구조 모듈,벽 세그먼트,1,MVP,WALL_SEGMENT_001,included
11 건축/구조 모듈,창문,1,Later,WINDOW_001,included
11 건축/구조 모듈,기둥,1,Later,COLUMN_001,included
11 건축/구조 모듈,층/방 표지 사이니지,2,Later,SIGN_ROOM_001; SIGN_FLOOR_001,included
12 조명 오브젝트,천장 패널등 / 펜던트 램프,2,Later,CEILING_PANEL_LIGHT_001; PENDANT_LAMP_001,included
